formula,target
RbFe2Te3,1
VCl2,1
CrI2,1
NaClO4,1
PbBrF,1
TiIN,1
Hf2CuGe4,1
BiI3,1
Ca2Cu(ClO)2,1
Mo2SBr2,1
NaGaH4,1
OsCl2O,1
PbCN2,1
Nb(SCl)2,1
KFe2S3,1
RbBrF4,1
CuI,1
GeAsSe,1
LaI2,1
CaAsH5O6,1
AsO2,1
Sr3Fe2Br2O5,1
SrIF,1
TaTe4I,1
Pb5(SI3)2,1
RbPaF6,1
SrHI,1
CaH4SeO6,1
LiHO,1
In4Bi2S9,1
CeGe2,1
Ge2Te5As2,1
TiNCl,1
TiTe2,1
GdBr3,1
Na2PbO2,1
SnPbF4,1
Hg2IO,1
DySI,1
RbPSe6,1
IrBr3,1
V2O5,1
Ba2N,1
MnTeMoO6,1
InBrO,1
Nb2Te6I,1
Nb2Se3,1
Ta2Te5Pd3,1
SrH4O3,1
NaSO2,1
RuCl2O,1
UBr4,1
IO3,1
CaPH3O4,1
BiClO,1
DySBr,1
Zn3As2,1
AlCl3,1
NaFeAs,1
Ca3Cu2(ClO2)2,1
Bi9I2,1
Nb2GeTe4,1
TmIO,1
NbO2,1
InCu(PSe3)2,1
Tl3BSe3,1
NaTaCl6,1
NiI2,1
V2Pb3O8,1
Te3Cl2,1
CdBr2,1
ReCl3,1
ReBiO4,1
SmBr3,1
CuSbSe2,1
LiCu(PO3)2,1
BiPO4,1
KPSe6,1
Hg2P2S7,1
LuHCl,1
ZrCl2,1
TaTe4Ir,1
CuH2(SeO3)2,1
SbF3,1
BiIO,1
CuHgSCl,1
UBrN,1
K4Br2O,1
NdGe2,1
TlPbI3,1
LaCl,1
K2Sb4S7,1
MoNCl3,1
SnF4,1
InTeBr,1
Cd(IO3)2,1
Si(PbSe2)2,1
CaMnSi,1
SnI2,1
Nb3Cl7,1
As2SO6,1
MnAlGe,1
MnI2,1
Ca2N,1
TiSe2,1
BiTeCl,1
TiBr2,1
MgCl2,1
SmS,1
ScHCl,1
ThI2,1
Te2Rh,1
Ge(BiTe2)2,1
NiBr2,1
VClO,1
InBi,1
Y4CI5,1
MnCl2,1
Mg(AlH4)2,1
ZrSe3,1
ErHCl,1
WS2,1
CuBr2,1
MnO2,1
ZrP2(HO3)2,1
TbCl3,1
MgMnGe,1
CrHO2,1
Te2Ir,1
Al3Ir,1
SrBrF,1
InGaS3,1
Eu(CdP)2,1
TlI,1
ZrNCl,1
Y6C2I7,1
Nb3SBr7,1
AgI,1
CrBr3,1
AlO2,1
Xe(OF)2,1
As2O3,1
TlF,1
IrCl3,1
Sr4Mn3(ClO4)2,1
YBC,1
NdBr3,1
Tl2O3,1
MoO3,1
Nb3TeCl7,1
Y2Cl3,1
RbC2,1
ZnH2SeO4,1
SbAsO3,1
PPdS,1
PAuS,1
Sr(BiO2)2,1
B2S3,1
SrThBr6,1
Bi(PdO2)2,1
CdP2(HO)4,1
Ta2Se,1
Sn2IF3,1
BaThBr6,1
TiBr3,1
FeMoClO4,1
As3(HO2)5,1
CaP2(HO)4,1
HfS3,1
BiOF,1
HgPS3,1
Zr2CuGe4,1
FeSn2(CN)6,1
LiV(OF)2,1
BaTl(SnO3)2,1
TiO2,1
Pr2I5,1
VOF2,1
MgBr2,1
ZnPS3,1
ZnTeMoO6,1
TaCoTe2,1
Ta2NiS5,1
LiCuCO3,1
SbO2,1
Mg(IO3)2,1
I2O5,1
PuBr3,1
Ca3Cu2(BrO2)2,1
Sb4Br2O5,1
DyZnPO,1
Tl2Sn(AsS3)2,1
HfS2,1
Zn(HO)2,1
CrCl3,1
NaInBr4,1
Te4MoBr,1
Zr(MoO4)2,1
SrBi5O9,1
Nb3TeI7,1
AgIO3,1
Cr2SiO4,1
NbNiTe2,1
ZrBrN,1
ZrTe5,1
Re(TeCl6)2,1
TlInS2,1
Sb2Te4Pb,1
Ta4AgS8,1
Si2Hg6O7,1
Co2Te3O8,1
Li2MnF6,1
AgSb2F12,1
CrBrO,1
Ag2S,1
Li2UBr6,1
Ta3Te14Pd3,1
YFeF5,1
La2PBr2,1
Fe4Cu2S7,1
MgSb2O5,1
BiBr3,1
Rb2O,1
BaTl(CoO3)2,1
Nb2CS2,1
Bi2P4O13,1
Ba2Bi3O7,1
SbTe,1
Rb2Sn(H2N)6,1
PrBrO,1
RbPbF3,1
KH2I3O,1
SiO2,1
Ba2Mn3O8,1
Ag2CO3,1
NiC2(SN)2,1
SiBi2O5,1
SnPHO4,1
TbH2Br,1
