formula,target
PdTiPt2Cl10,0
C2Ba,0
K4Mn4O16P4,0
LaNaSe2,0
Al32Ca4Ni8,0
Cl2H4O12Rb2Se4Zn2,0
La4Mg2O12Ti2,0
Al2K2O8Si2,0
Ca4Fe3H22Mg4,0
K8O24Os2,0
Pd5Ti3,0
As2Co2O6Sc2Sr4,0
HgO2Rb2,0
Co8Mo16N4,0
Ag2Ba2F2Se2,0
O16Sb8Zn4,0
CoN6Na3O12,0
Ca6Ir8Sn26,0
S12Te4Tl8,0
Pd3Ta,0
PbSb,0
AuCuO2,0
N12W10,0
Ag2Ga2As8Br8,0
Ni8Si4Y4,0
B8H32Na2Yb2,0
B8Cr16,0
Ca10F2O24V6,0
Ca2O20P4V4,0
C6H6Cu2N8Pt,0
Cl20Gd4In8,0
Nb16O28Sr2,0
O14S2TlV3,0
Co4Fe4P4,0
Ca2Nb4O22P4,0
Sb4O6,0
Ir2P2Rb,0
Co2GaHf,0
Cu2Ge2Hf,0
Mo8Te8Br24,0
C2Fe2N4,0
O8RbS2Tl,0
Cs2Mn2Sb2,0
Nb6Si2,0
Cs2O24Se4V6,0
CaFe4Sb12,0
Cr4Cu2O8,0
C4H10Na6O16,0
F3FeRb,0
CuPd3,0
Ge4Ir2La2,0
Ca4H8O26P6V2,0
Ag12O16Sb4,0
F24O6Tc6,0
O32Ta16,0
C6H6Fe2O12,0
Ba10O24P6S,0
Li4N6Si2Sr3,0
Br2Li5N,0
C4W8,0
C2Mn4Si2Tb2,0
Co2GaHf,0
Al2B6Bi4O22Pb4,0
PtHf2Cl3Br8,0
La12Mo4O28,0
Ga4P12Sr12,0
In8Ir2Sr2,0
Cl2O24Pb10V6,0
C2AuRb,0
F12Ge2Li4,0
Fe2S8Sc4,0
Fe34H6Y4,0
Ru2Te4,0
Co2In9K,0
Cl16H12Hg6N4Pt2,0
Be2F8NaRb3,0
MoOW2Cl8,0
B2Lu10Si6,0
O20S4Ti4,0
AlAuO2,0
Ba4Co4O24Se8,0
B8Mg2Os6,0
Ge2Ir3La,0
H6Nd2O24Se6,0
S4O8,0
Ba4Na4O16P4,0
B4Cl8H16Na2O16,0
Br2Gd2,0
Ag2Ba2La2Te6,0
Cl4O22Te8Zr4,0
Mn4O28P8Rb4,0
B12Pr8Re13,0
Al3Hf3Ni3,0
F3HgTl,0
C4Ti12W12,0
Ca8Pd2,0
Ca4H8O18P4,0
F20Hg6Nb4O8S2,0
Mn8Si14Zr8,0
Bi2Gd10Pd4,0
OBr4Nb4Se9,0
Cl6Er2O24,0
As3H4MnNS6,0
Au4Sc8,0
Pt4Sc4Si4,0
Cu2N10,0
La4Si8,0
C6Cd2N6Ru,0
B4Ba12Br12O12,0
K2O8RbScV2,0
Be15Hf6Ni8,0
Bi10O21Pb6,0
Al36Co12Cu3,0
Na4O16Rh8,0
H8W2,0
Bi,0
Co9S8,0
Mg4P2,0
Pd2Te4Tl4,0
As2CaMn2,0
O12Sc2Sr4Ta2,0
HgPt,0
C4Ni8Ta16,0
Cl4S4Sb4,0
Cu4Mg2,0
Lu2Mg3Ni2,0
B6K2O18Sr8,0
S3Zn3,0
F20N8Ti4,0
Nb4O20P4,0
La4O4S4,0
AgMg,0
N6Tl2,0
I10OsY6,0
Ag8Bi4Cs4S12,0
Cd8H4Li4O28Se8,0
F20Gd4K4Li4,0
Co8Zr16,0
CRh3Tb,0
Na2O12Si4V2,0
LuTl,0
B8Li8Si16,0
O20Sb8,0
Ge20Y22,0
La6Ni2O12S6W2,0
Fe23Tb6,0
Fe2H16Mg4Na4,0
BN3Ta2,0
CeLi8O6,0
Eu4Mg4Si4,0
Cs3H9Mg3,0
Pd34Se30,0
Ge6Nb3,0
La2O2Te,0
B6Co20In3,0
Bi3Sr,0
P12Sr6,0
K4O12Sb4,0
CoNb2S4,0
Ca6Li4Mg2N12Si4,0
Ba4F12Pd2,0
F8K4O2Te2,0
Cu4Na2Nb2S8,0
SeCr2Pd2O13,0
Na8S4,0
As8H4O24P4,0
Cu6K2S4,0
La5MgO16Re3,0
Br4N4Pt,0
GdInNi4,0
FePd3,0
Ag4In4S12Si2,0
As4Ca12N4,0
Al2O8V4,0
Li2Nb2O6,0
As12Hf4Na20,0
As4Cu2Y2,0
Fe4Se8,0
Na10O10Ta2,0
Cu2Sc2Sn2,0
As6Mo4,0
Ge6Ru7Sc4,0
S8Hg16O40,0
B12O20Tl4,0
F6GaKRb2,0
C2Mg2O6,0
CsFe2P2,0
Ta4Br8Cl8,0
Ca10Mn2Pb6,0
H6O18P6Sc4,0
B26Co2Y8,0
EuTe,0
C4H16Eu4Na4O28P8,0
Se8Ti5Tl,0
Ga16Rh7Ti6,0
Fe2Hf16Te12,0
Ga2Ti4,0
Rh4Y2,0
Eu8O20Ti4,0
CGeI3N,0
Cl12N2Ta2,0
Cu2GeHgSe4,0
Mn2Rb4S12Te4,0
S12Sn4Sr4,0
Fe2Sn6Ti10,0
C2Co2Lu2,0
I4S6,0
C2H6N6Yb2,0
DyInPt4,0
Fe2Li2O10P2,0
BaCa3O4,0
Ni3Ta,0
Ag3As3Ca3,0
Ga2Nb10Sn4,0
Mo4O24Sb8,0
S3Ti3,0
HgNa2Sn,0
O30P6Re2Si4,0
O32Ta16,0
As8Nb24,0
Li4O8Rb4Si2,0
Bi6Pt3,0
Ag2Li2O4,0
Ge4La4Mg2,0
Ge4La2,0
C6Mg4,0
Ca2Ge4O12Zn2,0
Cs15Tl27,0
Ag4O24P8Tl4,0
Ba2Mn2O6,0
B24Rh4Sc8,0
Cu2K2Mg6O24V6,0
Al6H18,0
CsH12NiO10P,0
In2Na10S8,0
K4Mo4O32P8,0
Mn3NNi,0
H2K2Mn4O18P4,0
Pd2S4O10,0
In5RbS8,0
B2Ir3Y,0
O2Zn2,0
GeI3Rb,0
Br2Se4,0
Cd4Hg4O22S4,0
I4Nb16Te48,0
Al16Pd7Sc6,0
S2Nb5Br13,0
Cu2Te2,0
H24N8O16S4,0
F6Fe2,0
Ag3Ca3P3,0
N8O20S12,0
B2CaO6Sn,0
Cl16Na8Pd4,0
As12Ba8Cd6Li4,0
B2Ru3Sm,0
H8Mg3Ti,0
B8Li12O24Y4,0
AsBiGa2,0
Al4Ge2NiY,0
BiGaO3,0
As2Ba2F2Mn2,0
Ge2Ni2Sm,0
Eu4In4Rh4,0
Si4Ti4S12,0
Pb2Pd4Pr4,0
C2Li2H4O6,0
LiMg2Tl,0
C28Y16,0
As4Co4Mn4,0
BrTa4Te12,0
Ag2Te4Y2,0
B2Nb2O8,0
FeHfO6Sr2,0
Sb4Sn2Ti10,0
As2LaPd2,0
Li4O8Y4,0
C12Cs4K2N12Rh2,0
CoFeSbV,0
C4H12La4O28S4,0
Br2CdN2,0
O8P2Rb3Y,0
Ba8P12Pd4,0
Co2Sc4Si4,0
F2HNa,0
Cu5Na8O10,0
CAlLa3,0
B12Gd,0
Al3CuGd,0
Ba2Ge2Zn2,0
Na4O14Sb8,0
B2CsH8O22P4V3,0
Re12Si24Zr12,0
As4Ba3Li4,0
Al50Ca4Nb2,0
Au4O20Se6,0
Cr2Nb8Te8,0
CF2Gd2,0
NiSe4V2,0
Br2Cr6O24Sr10,0
AlY3,0
Fe3Ge3Hf3,0
C12Co2K4N12Na2,0
La4Lu4S12,0
S16Ti4Tl16,0
Re10Zr20,0
Al6La2,0
Cu4H16O20Se4,0
C4Nb16Zn8,0
