formula,target
Mn3CuO8,1
Ca4H8O26P6V2,0
Ga12PdY4,0
Cl4Cr2O4,0
Cs2ErF6Na,0
Ni4Te8,0
Al8Fe4La,0
C8H12Ca2N12O16P4,0
Ba2O4Sn,0
O28P8Sn4,0
OSeHg2,1
CeBrO,1
LaOsSi3,0
F24Mn6Na2Rb4,0
K4P8Se24Y4,0
K4Mn4Na4O8,0
BrIOSSbSr,1
Gd4Mo6O24,0
O4Re2,0
MoSnTiCl8,0
Cs2N2Os2S2Cl10,1
Ca3Hg,0
O20Sr4Ti8,0
Co3Ga3Zr3,0
InSScSeI2,1
ThCo5,1
SbSn2O6,1
CGeMn3,0
Ge2LuMn6Sn4,0
NaN2C5H5O5,1
HfH2O2,1
K2Se4Sn2,0
Tc,0
F6GeTl2,0
AlP5,1
BrNbTaS2Cl3,1
MnBr2,1
Ca10F2O24V6,0
NdIO,1
BiHfSb,1
Al2H2S10,1
O4Re2,0
BiBr2,1
CuTeO3,1
H2Ni2Te4,1
C2Nd,0
LuBiO3,1
Pt4Rb2Se6,0
Mn4Na2O18Si6,0
Ca4H2Na2O18Si6,0
F2Ge2Se2,1
FeLu6Sb2,0
Cu4F4Na4O14P4,0
C4RuSc3,0
BiCuSb2Se6,1
Ca6Ir8Sn26,0
C8Ir2,0
K8O8Si2,0
AuLi3,0
CsGeS2,1
AuVTe2,1
AgVSb2Te6,1
MnYCl2Se2,1
Na2Nb2F12,1
Cr6Rh2,0
Ir6Mg26,0
CrTiGe2I4,1
KN3,1
IrMnSb,0
In8Ir4,0
Cr2H6KO14Sc3,0
Cs4I12Sn4,0
BiF6KRb2,0
Lu6Ru4,0
Fe4Se5,1
Ge3LaOs,0
Mn3Sb,0
Br2Ni2Sb2Te4,1
Ge2Sb2Te6,1
Cd2Cs5Tl11,0
Zr2Se6,1
La4Mo2O10,0
Te2Hg4O6,0
H4O20P4Zn8,0
As16Cs8Se24,0
Br2C2Mo2,1
C2RhSm,0
Lu2Sb2Zr2,0
La4Si8,0
Cr2I2S2,1
CuTlAs2Te6,1
B2H12Li6,0
Ni(ClO3)2,1
Ga2Te3,0
PS,1
Ag4O12V4,0
Bi4Cu2O24Se8,0
C4V8,0
Na2O6Pd,0
Gd6Pd8,0
CoTe2,1
Eu6F20Rb2,0
Cu30Si8,0
Al2MgS4,0
B6CdO18Pb8,0
Br6N2Se,0
H7Ti4,0
As4F28Hg4,0
F2Fe2W2O8,1
B2F2Sr2O6,1
Re4Se8,0
I12Pb2Tl8,0
H20N8O12P4,0
F6GaTl3,0
Gd2Pd2,0
Ba8Ga4S14,0
In2P2Se6,1
Cu2F2Te3Sb4,1
B2Cl2H8Na4O8,0
IO2Pb2,0
Br2Mo2Se2,1
In3Pd3Sm3,0
C8F4Lu4Na8O24,0
BaGe2Li2Mg2,0
USeO5,1
Al2Br2H12O8,0
C3B,0
FOSn,1
Cl4Ni10O24Se8,0
C2Tb,0
Cl16Na8Pd4,0
Nb3Pt3Se14,1
CdCl4,1
Ba2Hg4,0
As4Eu2In4,0
CO2Zr2,1
HgN3O6Tl,0
MgF2Se2,1
CaMg2N2,0
Cr2Sb2Se6,0
Dy4O14Sn4,0
Sr2Rh,1
Ba4Bi2,0
LuS2Tl,0
MoCl3,1
F18Ge3Na6,0
Mg2Ti,1
MgK2F4O10,1
Ag4Fe4O28P8,0
Mo4Cl12,0
K12O16P4,0
Cu2N10,0
Cl2Cu3H6MgO6,0
C8Br4O8W2,0
Co2O18Se6Sr4,0
In22K16,0
Cl2H2Lu2,0
LiCuF4,1
Al4Ba2O28Si6,0
RbFe2Te3,1
HoSe,1
H2Mn2S4,1
Pb2O5,1
Cr4O9,1
VI2,1
Al3Ir,1
BiSbTi,1
C2F2S2V3,1
CoGd2O14S2Te2,0
Ir4O14Pr4,0
Li8O10Se2,0
La6Sn8,0
F2Pd2Se2,1
Ce4F24Rb12,0
Hg2Mn3O8,1
Cl9Nb2S4Tl5,0
Ge2P2O6,1
F4Ni2,0
F2N2S2Mn3,1
BCl2Cr2,1
Ti3Te2,1
Cu4Sb28Zr16,0
In2N2,0
TiIN,1
Ba4Cu4Lu8O20,0
K4O16P4Sr4,0
Co4Nb16Se16,0
Gd8O24Te4,0
GdGe2Rh2,0
C4Fe8,0
SeSi,1
CEr2N2O2,0
Pt4Si4Y4,0
F12Pb4Pd2,0
H8Mn2Na4O20Se4,0
