formula,sg,xc,flg
C4B3Gd4,2,"{'pbe': {'am': 28.65, 'tm': 27.97}}",
Ag8Se4,1,{'pbe': {}},
O8Pt2Sr4,55,{'pbe': {}},
Bi13O20,197,"{'pbe': {'am': 1.11, 'tm': 1.0}}",
Hf2Na4O14Si4,2,{'pbe': {}},
Mo2Na4O8,227,{'pbe': {}},
Ba4Ge8Ni8,62,{'pbe': {}},
La5MgO16Re3,2,"{'pbe': {'am': 2.05, 'tm': 1.9500000000000002}}",
K4Ni6Se8,70,{'pbe': {}},
Fe2O26Te12,148,"{'pbe': {'am': 8.17, 'tm': 8.0}}",
Be2,194,{'pbe': {}},
He8Ne4,194,{'pbe': {}},['hp']
Bi4Pd4Te4,198,{'pbe': {}},
Co3Ni,221,"{'pbe': {'am': 6.43, 'tm': 5.8}}",['th']
Ga2Ni2,194,{'pbe': {}},['th']
Na6O2S6V2,36,{'pbe': {}},
Li4O20V8,62,"{'pbe': {'am': 5.32, 'tm': 4.0}}",
B24Re4Y8,55,{'pbe': {}},
Br12OsSe2,12,"{'pbe': {'am': 2.2, 'tm': 2.0}}",
NbS2,160,{'pbe': {}},
La2S12Y6,11,{'pbe': {}},
F6La2,194,{'pbe': {}},
Ir6P6Sr3,152,{'pbe': {}},
Ca4Li4N20Si12,33,{'pbe': {}},['th']
HfO2,225,{'pbe': {}},
F32Tc8,61,"{'pbe': {'am': 24.58, 'tm': 24.0}}",['th']
Al6Bi10Br24,167,{'pbe': {}},
CB2LuNi2,139,{'pbe': {}},
N2Pd,191,{'pbe': {}},['th']
C2Ce,139,"{'pbe': {'am': 0.37, 'tm': 0.36}}",
AsLa,225,{'pbe': {}},
Gd4Mo8O32Rb4,60,"{'pbe': {'am': 28.24, 'tm': 27.79}}",
BCl2O3RbZn2,155,{'pbe': {}},
Li9NS3,221,{'pbe': {}},
Na2O13Ti6,12,{'pbe': {}},
MnNi2Si,225,"{'pbe': {'am': 4.15, 'tm': 3.87}}",['th']
Gd4O12Sc4,62,"{'pbe': {'am': 28.07, 'tm': 28.0}}",
C24Li4,193,{'pbe': {}},"['th', 'hp']"
Fe2O12Si4,12,"{'pbe': {'am': 4.16, 'tm': 4.0}}",
Al8Bi4S16,126,{'pbe': {}},
S4Ta2,194,{'pbe': {}},
ClCu3S3Te,160,{'pbe': {}},
CePd3,221,{'pbe': {}},
Al2Ca22Sb18,45,{'pbe': {}},
Rh2Si2Y,139,{'pbe': {}},
BaPt5,191,{'pbe': {}},
Mn8O18Ta4,165,"{'pbe': {'am': 40.0, 'tm': 40.0}}",
B4Lu6Ni14,194,{'pbe': {}},
MnRu2Sb,225,"{'pbe': {'am': 4.18, 'tm': 4.04}}",
Cl4H4O14Pb2,15,{'pbe': {}},
Ca6In8Ni16,186,{'pbe': {}},
NiSe4Si2,12,{'pbe': {}},
Ga8K16Sb16,62,{'pbe': {}},
TbZn,221,"{'pbe': {'am': 6.22, 'tm': 6.22}}",
Cu8In8O20,33,"{'pbe': {'am': 8.59, 'tm': 8.0}}",
Nb8Ni2Si2,124,{'pbe': {}},
In8Pb2Sr6,63,{'pbe': {}},
Ba4Se8Si2,11,{'pbe': {}},
Se4Ta2,194,{'pbe': {}},
F4Lu4O4,14,{'pbe': {}},
B2Ni2Ta2,63,{'pbe': {}},
Al2F18H4O2Pb6,2,{'pbe': {}},
Cr4O16Rb8,62,{'pbe': {}},
Ba22Bi20,139,{'pbe': {}},
Bi4O16P4,14,{'pbe': {}},['ht']
Br4Mn8O14Si2Te2,11,"{'pbe': {'am': 40.01, 'tm': 40.0}}",
CrGeScV,216,{'pbe': {}},['th']
In4La2,74,"{'pbe': {'am': 0.03, 'tm': -0.03}}",
Bi8Rh4,2,{'pbe': {}},
La8Pb6,220,{'pbe': {}},
Ga32Pt16,142,{'pbe': {}},
Rh4Si4Y4,62,{'pbe': {}},
C2AuCuN2,191,{'pbe': {}},
C8N8Se8,19,{'pbe': {}},
F6PtZn,148,{'pbe': {}},
Al4La2,227,{'pbe': {}},
C2AuCuN2,71,{'pbe': {}},
S14Zn14,156,{'pbe': {}},
Gd2Li2O16W4,13,"{'pbe': {'am': 14.03, 'tm': 14.0}}",
Fe2Na2S4,23,"{'pbe': {'am': 5.55, 'tm': 5.37}}",
Ga16Rh7Zr6,225,{'pbe': {}},
Br12Na6Y2,14,{'pbe': {}},
Hg4Sr12,62,{'pbe': {}},
Ag2La2O8Ti2,129,{'pbe': {}},
Fe12S4,82,"{'pbe': {'am': 25.78, 'tm': 24.3}}",
O48V16,138,{'pbe': {}},['ht']
Cu4K2Se8Ta2,40,{'pbe': {}},
LiO6OsSr2,225,{'pbe': {}},
K2Nb2O16P4,15,{'pbe': {}},
O4,194,{'pbe': {}},"['hp', 'ht']"
P8S8,15,{'pbe': {}},
Cu8Fe4S8,216,"{'pbe': {'am': 14.07, 'tm': 13.9}}",['th']
In2S4Zn,156,{'pbe': {}},
Al4Lu8,62,{'pbe': {}},
N12Sr8V4,15,{'pbe': {}},
Al4Lu2,227,{'pbe': {}},
As2Rb6Se32,203,{'pbe': {}},
Cs2O8Se2,141,"{'pbe': {'am': 2.19, 'tm': 2.0}}",['ht']
Pt21Ti7,164,{'pbe': {}},
Pd3Tm,221,"{'pbe': {'am': 1.72, 'tm': -1.69}}",
H2I2Yb2,129,"{'pbe': {'am': 0.49, 'tm': 0.42}}",
Hf4Ir4Si4,62,{'pbe': {}},
Ge2K4O30Si12,9,{'pbe': {}},
I2Mo6Te6,148,{'pbe': {}},
Ba4O12Ta2Tb2,14,"{'pbe': {'am': 12.01, 'tm': 12.0}}",
K3Sb,225,{'pbe': {}},
S2Tl4,194,{'pbe': {}},['ht']
Br6Rb2Ti2,194,"{'pbe': {'am': 2.83, 'tm': 2.7}}",
Al18Gd4Pd6,63,"{'pbe': {'am': 30.04, 'tm': 29.26}}",
LuPb2,139,{'pbe': {}},
C4Fe12,62,{'pbe': {}},
H2Hf2Pd,139,{'pbe': {}},
Nb8Se16,194,{'pbe': {}},
CdK2N12,12,{'pbe': {}},
Ba6O18Ru4Y2,194,"{'pbe': {'am': 9.9, 'tm': 9.66}}",
B5H9,107,{'pbe': {}},
Al9Fe2HO24Si4,12,"{'pbe': {'am': 8.03, 'tm': 8.0}}",
Ge4InIr2La4,12,{'pbe': {}},
Cr4O12W2,136,"{'pbe': {'am': 12.5, 'tm': 12.0}}",
Ga6La3Ni9,191,{'pbe': {}},
Co4Na2O16S4,2,"{'pbe': {'am': 10.47, 'tm': 10.07}}",
B2CoW2,71,{'pbe': {}},
Br8Cs2Li6,26,{'pbe': {}},['th']
O8P4Yb4,88,{'pbe': {}},['hp']
Mn12Sc12Si24,55,"{'pbe': {'am': 14.72, 'tm': 10.35}}",
AsKZn,187,{'pbe': {}},
Pr4Ru4Sn4,62,"{'pbe': {'am': 9.73, 'tm': 8.06}}",
Mg8O24Si8,11,{'pbe': {}},['hp']
H8N10Zn,2,{'pbe': {}},
S4Ta2,160,{'pbe': {}},
Ge4O24Se8,205,{'pbe': {}},
BCuO2,166,{'pbe': {}},
LiMgPtSb,216,{'pbe': {}},
EuGe2Ru2,139,"{'pbe': {'am': 7.06, 'tm': 6.84}}",
Fe6O18S6,148,"{'pbe': {'am': 24.09, 'tm': 24.0}}",
Cl6LiRb2Tm,225,"{'pbe': {'am': 2.01, 'tm': 2.0}}",
B2Gd6O18W2,173,"{'pbe': {'am': 42.04, 'tm': 42.0}}",
Ge4K4O12Zn2,20,{'pbe': {}},
BInSc3,221,{'pbe': {}},
EuNbO3,221,"{'pbe': {'am': 7.0, 'tm': 6.86}}",['ht']
Cs4Ge2Se8,12,{'pbe': {}},
Cu4Ge2Zr3,189,{'pbe': {}},
Se6Sn3,166,{'pbe': {}},
Ge4O8,60,{'pbe': {}},"['hp', 'ht']"
F2K2O8S2Sn2,2,{'pbe': {}},
In22Rb16,167,{'pbe': {}},
Ca3NSn,221,{'pbe': {}},
Ga12Lu4Ni,229,{'pbe': {}},
H6K2O6Sn,148,{'pbe': {}},
AlV3,225,{'pbe': {}},
Cu2Zr2,11,{'pbe': {}},
DyNbO6Sr2,225,"{'pbe': {'am': 5.04, 'tm': 5.0}}",
O22Sr2V12,194,"{'pbe': {'am': 22.36, 'tm': 20.0}}",
La8Rh28,194,{'pbe': {}},
Ge2Li4O8Zn2,31,{'pbe': {}},
Ba3N8O6P6,147,{'pbe': {}},
Au4Ca4Pb2,127,{'pbe': {}},
HgNi,123,{'pbe': {}},
CdCrF6,148,"{'pbe': {'am': 2.17, 'tm': 2.0}}",
Ni3S2,155,{'pbe': {}},
K4O12Zr5,164,{'pbe': {}},
O32Si16,133,{'pbe': {}},['th']
Ba2Cu2S6Sc2,63,{'pbe': {}},
Ge6Ir6Ti6,46,{'pbe': {}},
Be4O7Te,216,{'pbe': {}},
H8Mn8O20S4,62,"{'pbe': {'am': 40.0, 'tm': 40.0}}",
AlLa2Ni9,65,{'pbe': {}},['th']
Ca2O8Ti4,63,{'pbe': {}},['hp']
C6F26Ir2O6Sb4,2,{'pbe': {}},
Ba3S7Zr2,139,{'pbe': {}},
Nb8Zn16,194,{'pbe': {}},
Ni4Te4Y10,63,{'pbe': {}},
Ag2O12Tl2V4,15,{'pbe': {}},
Cu18Ga15Mg6,200,{'pbe': {}},
Cr2Si2Te6,148,"{'pbe': {'am': 7.76, 'tm': 5.99}}",
MnRh2Sb,139,"{'pbe': {'am': 4.48, 'tm': 4.27}}",
Cl3RbTm,221,"{'pbe': {'am': 1.09, 'tm': 1.03}}",['ht']
Cs4H8N4O12S4,62,{'pbe': {}},
Pb2V6,223,{'pbe': {}},
Al2Cs2H16N8,85,{'pbe': {}},
O12Pb4Sr4,62,{'pbe': {}},
Co20P12Y4,62,"{'pbe': {'am': 6.85, 'tm': 5.52}}",
Ga2Y2Zn2,194,{'pbe': {}},
Cs2F6Mn,225,"{'pbe': {'am': 3.26, 'tm': 3.0}}",
Ru8Sn12,116,{'pbe': {}},
Bi12O20Pb,197,{'pbe': {}},
Ir2KP2,139,{'pbe': {}},
Ba5Ga5Pb,187,{'pbe': {}},
Cs4Na8,194,{'pbe': {}},
F4N4Zr4,14,{'pbe': {}},
C8Au4Cs4N8S8,15,{'pbe': {}},
Bi4Nb4O16,52,{'pbe': {}},
Cd4O36Se8,14,"{'pbe': {'am': 17.29, 'tm': 16.75}}",
H2K4S8Sb2Zn2,2,{'pbe': {}},
Mg16Pd8,227,{'pbe': {}},
Cr4Ni2,227,{'pbe': {}},['th']
Cl12Cs4Sn4,14,{'pbe': {}},
F6KP,148,{'pbe': {}},['hp']
H10N4NiO8S2,2,"{'pbe': {'am': 2.01, 'tm': 1.9100000000000001}}",
AuF16H4Sb2,2,"{'pbe': {'am': 1.09, 'tm': 1.0}}",
Ba2Co9O14,166,"{'pbe': {'am': 9.34, 'tm': 9.01}}",
H18I2K4Na2O20Pd,2,{'pbe': {}},
Al2Li2O12Si4,1,{'pbe': {}},['ht']
Sn2Ti6,194,{'pbe': {}},
CuH18N6O10V2,2,"{'pbe': {'am': 1.13, 'tm': 1.0}}",
Ag16Ge8O16S4,141,{'pbe': {}},
Fe2K2O18S4,11,"{'pbe': {'am': 6.47, 'tm': 5.98}}",
Cl12Fe2K6Na2,167,"{'pbe': {'am': 8.08, 'tm': 8.0}}",
Cr8O8Y4,141,{'pbe': {}},
Bi2Dy2O12Sr4,14,"{'pbe': {'am': 10.59, 'tm': 10.01}}",
Au4Cs4O32S8,14,{'pbe': {}},
Cu4Si4Ti4,62,{'pbe': {}},
C8B2N8Tl2,88,{'pbe': {}},
Gd4Ni4,62,"{'pbe': {'am': 29.29, 'tm': 28.83}}",
Rh8Se16,62,{'pbe': {}},
Ge2Li8O8,63,{'pbe': {}},
Cl4O16S4Tl4Zn4,14,{'pbe': {}},
NZr,225,{'pbe': {}},
Ba4ClO18Os6,197,{'pbe': {}},
CdZr2,139,{'pbe': {}},
Lu12Ni4Sn2,71,{'pbe': {}},
Cu2Na2S4Zr,12,{'pbe': {}},
Cl2O2V2,59,"{'pbe': {'am': 4.18, 'tm': 4.0}}",
Au2La4O2P4,12,{'pbe': {}},
Cd4La16Ni4,216,{'pbe': {}},
Al4Na4O20Si6,5,{'pbe': {}},['ht']
Br24Mo12,64,{'pbe': {}},
Mo3Si6,180,{'pbe': {}},
C2AgAuN2,191,{'pbe': {}},
Cu3NaO12Ru4,204,"{'pbe': {'am': 3.45, 'tm': 2.81}}",
Ba8In20P20,62,{'pbe': {}},
Pr2,63,{'pbe': {}},['hp']
Ag3Bi3Se6,164,{'pbe': {}},
In6S10Tl2,12,{'pbe': {}},
RuSc,221,{'pbe': {}},
B4Ba12Br12O12,2,{'pbe': {}},
O14V4Zn4,15,{'pbe': {}},
Sn,225,{'pbe': {}},['th']
Pt6Si3,189,{'pbe': {}},
ErPd3,221,"{'pbe': {'am': 2.95, 'tm': 2.93}}",
Gd2Ir4,227,"{'pbe': {'am': 14.44, 'tm': 14.02}}",
Fe8Ge4Mo12N4,227,"{'pbe': {'am': 18.66, 'tm': 16.42}}",
F3MgRb,221,{'pbe': {}},
Al7Cu16Ho6,225,{'pbe': {}},
Au8K2Sn4,120,{'pbe': {}},
Mn8O16Si4,62,"{'pbe': {'am': 40.0, 'tm': 40.0}}",
K4O6Pb4,199,{'pbe': {}},
Zr,225,{'pbe': {}},['th']
Fe2S6Ta9,189,{'pbe': {}},
Co6Cs4S8,72,"{'pbe': {'am': 6.23, 'tm': 5.97}}",
F6RbTa,166,{'pbe': {}},
Ba4Br8,62,{'pbe': {}},
N2Os,191,{'pbe': {}},['th']
Cu2Te2Tl,139,{'pbe': {}},
Br2Cs2F2,139,{'pbe': {}},
As2Cs2Mn2,129,"{'pbe': {'am': 7.8100000000000005, 'tm': 7.25}}",
Au10K6Tl2,74,{'pbe': {}},
Cs8Na2Si36,227,{'pbe': {}},
CCe3Pb,221,"{'pbe': {'am': 2.8200000000000003, 'tm': 2.58}}",
S6Sr2,113,{'pbe': {}},
Ag6O8P2,223,{'pbe': {}},
Be4O14Rb4Si4,34,{'pbe': {}},
H8O16P4Rb2Zn,2,{'pbe': {}},
F10Fe2O2Rb4,63,"{'pbe': {'am': 12.76, 'tm': 12.64}}",
Cs4Cu8Ta4Te16,33,{'pbe': {}},
Be2La2Si2,194,{'pbe': {}},
Ba8Cl28Y4,14,{'pbe': {}},
H16S8,142,{'pbe': {}},['hp']
O14Sn4Y4,227,{'pbe': {}},
BiF6Rb,148,{'pbe': {}},
In10Y6,63,{'pbe': {}},
GaNi2Y2,71,{'pbe': {}},
Nb3Si6,180,{'pbe': {}},
Al39Ru12,12,{'pbe': {}},
B4H16Na4,62,{'pbe': {}},['hp']
As8K14Nb2,31,{'pbe': {}},
H2Nd,225,"{'pbe': {'am': 3.8200000000000003, 'tm': 3.75}}",
O26P8Rb4Si2,2,{'pbe': {}},
Al8Ba2S14,31,{'pbe': {}},
Ag2La2O4,194,{'pbe': {}},['th']
Cl4H18N6O8RbRu,166,"{'pbe': {'am': 1.1, 'tm': 1.0}}",
In2Lu4Ni4,127,{'pbe': {}},
ZnZr,225,{'pbe': {}},
Ba2HN,166,{'pbe': {}},
CuMnO2,12,"{'pbe': {'am': 4.06, 'tm': 4.0}}",
O2Sn2,129,{'pbe': {}},
Al2Gd2Zn2,194,"{'pbe': {'am': 15.04, 'tm': 14.91}}",
In3Ni3,191,{'pbe': {}},
B4V6,127,{'pbe': {}},
Lu4Pt4Si4,62,{'pbe': {}},
C8Li4N16Y4,60,{'pbe': {}},
Sb8Zn8,61,{'pbe': {}},
B4Ca2H16,15,{'pbe': {}},['th']
Al12Fe2,36,{'pbe': {}},
K2Zn26,226,{'pbe': {}},
O24Si12,163,"{'pbe': {'am': 1.23, 'tm': 0.63}}",['th']
Al10Ba8,194,{'pbe': {}},
Cl16Ru2S6,2,{'pbe': {}},
Ni30P9Sn3,164,{'pbe': {}},
CdCuSb,216,{'pbe': {}},
Cu2O12Rh2Sr6,15,"{'pbe': {'am': 1.19, 'tm': 1.13}}",
Al16Ba4O28,26,{'pbe': {}},
Gd16O28Se12Si8,141,"{'pbe': {'am': 112.21, 'tm': 111.7}}",
AlCaSi,187,{'pbe': {}},
Hf4Mn8,194,"{'pbe': {'am': 6.46, 'tm': 4.73}}",
F12Tl4,62,{'pbe': {}},
B8Cl2La2O16,9,"{'pbe': {'am': 4.23, 'tm': 4.0}}",
Bi4O20S2Te4,15,{'pbe': {}},
H4Mg2O10S2,15,{'pbe': {}},
Al4B16Lu4,55,{'pbe': {}},
C2As6Ca10O24,176,"{'pbe': {'am': 6.03, 'tm': 6.0}}",
B4Ni6Zn2,12,{'pbe': {}},
O20W4Yb4,14,"{'pbe': {'am': 8.44, 'tm': 8.0}}",
Cd2I12In8,128,{'pbe': {}},
Ba12O4Sb8,55,{'pbe': {}},
F4Fe4O12Te4,14,"{'pbe': {'am': 20.07, 'tm': 20.0}}",
Cl6Cs2KYb,225,"{'pbe': {'am': 1.02, 'tm': 1.0}}",
C8Co4O24,66,"{'pbe': {'am': 4.47, 'tm': 4.0}}",
AgCu4Lu,216,{'pbe': {}},
STb,225,"{'pbe': {'am': 5.75, 'tm': 5.65}}",
Ag8K4,194,{'pbe': {}},['hp']
Ca2Mn2O6,148,"{'pbe': {'am': 6.38, 'tm': 6.0}}",['th']
Al2Na2O12Si4,15,{'pbe': {}},['hp']
Mn12Si24Ti12,55,"{'pbe': {'am': 13.29, 'tm': 10.37}}",
B10Ba6O28P2Zn2,31,{'pbe': {}},
BeBiLi,216,{'pbe': {}},['th']
B4Mg6O12,58,{'pbe': {}},
Lu2Pt4Sn2,194,{'pbe': {}},
As2Mn2V2,129,"{'pbe': {'am': 7.18, 'tm': 6.4}}",
As4Hg2O14Sr2,2,{'pbe': {}},
HTa2,21,{'pbe': {}},
Ca2Lu4S8,36,{'pbe': {}},
Tb2,194,"{'pbe': {'am': 11.98, 'tm': 11.98}}",
C4H4N6O2,2,{'pbe': {}},
BaO3Zr,221,{'pbe': {}},
Cu4O4Pb2,15,{'pbe': {}},
Mn8O20Pb8,62,"{'pbe': {'am': 32.73, 'tm': 32.0}}",
Cd2O14P2V2,4,"{'pbe': {'am': 4.48, 'tm': 4.1}}",
Cu4O28P8Sr4,14,"{'pbe': {'am': 4.25, 'tm': 3.83}}",
Ge2Hf2O8,88,{'pbe': {}},
Ge2K6Se6,12,{'pbe': {}},
Mg6O6,223,{'pbe': {}},['th']
Al2NiZr6,189,{'pbe': {}},
Cs2F14H2I2,2,{'pbe': {}},
Ba6Ir4Mg2O18,194,"{'pbe': {'am': 0.01, 'tm': 0.01}}",
O16Si2Sn12,186,{'pbe': {}},
C6Fe34Tm4,194,"{'pbe': {'am': 83.05, 'tm': 75.02}}",
Cl12H16N4Pd2,14,{'pbe': {}},
Cu22N8Pd2,123,"{'pbe': {'am': 3.67, 'tm': 2.7199999999999998}}",['th']
GeLiPd2,225,{'pbe': {}},
GdNi2Si2,139,"{'pbe': {'am': 7.24, 'tm': 7.16}}",
O8P4Zn2,51,{'pbe': {}},
Cs2CuF4,139,"{'pbe': {'am': 1.07, 'tm': 1.0}}",
B4Rh10Sc6,127,{'pbe': {}},
O2Pd4,224,{'pbe': {}},
F16Gd4K4,62,"{'pbe': {'am': 28.04, 'tm': 28.0}}",
RhTi2,139,{'pbe': {}},
Ag4O14W4,2,{'pbe': {}},
Na2O24P6Zr4,167,{'pbe': {}},
K4Mo8O32Sm4,60,"{'pbe': {'am': 21.03, 'tm': 20.0}}",
Nb8Se4,12,{'pbe': {}},
Cr4Li4O24Si8,14,"{'pbe': {'am': 12.64, 'tm': 12.0}}",['hp']
S8Zn8,160,{'pbe': {}},
Cs4O32S8Sb4,19,{'pbe': {}},
Ba2Na2O14Sc2Si4,11,{'pbe': {}},
Ag2Au2Ba8O12,63,{'pbe': {}},
Hg2O8Se2,31,{'pbe': {}},
Bi4Rh6S4,12,{'pbe': {}},
Al8GdMn4,139,"{'pbe': {'am': 16.87, 'tm': 15.35}}",
Co8O23Sr8,139,"{'pbe': {'am': 20.85, 'tm': 20.46}}",
Ba4Co2O14Si4,15,"{'pbe': {'am': 6.08, 'tm': 6.0}}",
Co6Mo2,194,"{'pbe': {'am': 3.5300000000000002, 'tm': 2.05}}",
Hg6Rb4Se8,72,{'pbe': {}},
Be6H18Li6,2,{'pbe': {}},['th']
Cu2K2Se6Zr2,63,{'pbe': {}},
CrH6Y2,225,"{'pbe': {'am': 0.19, 'tm': 0.11}}",['th']
Eu2Ga4,74,"{'pbe': {'am': 14.43, 'tm': 14.17}}",
Ba8Se12Zn4,62,{'pbe': {}},
AlGeLi,216,{'pbe': {}},
F2Fe2O8PbV2,12,"{'pbe': {'am': 10.04, 'tm': 10.0}}",
C8H16Br8Si2,114,{'pbe': {}},
B2Yb,191,"{'pbe': {'am': 0.18, 'tm': 0.16}}",
Cl,123,{'pbe': {}},
Cl8Tl8,88,{'pbe': {}},
C12Cl2Cs2La4N12O12,176,"{'pbe': {'am': 0.05, 'tm': 0.04}}",
Ba6O10Ti2,140,{'pbe': {}},
GaPd2Zr,225,{'pbe': {}},
C4H16K4Mg2O20,14,{'pbe': {}},
Ca4Li2,11,{'pbe': {}},"['th', 'hp']"
Ba6O24Si6Zn6,173,{'pbe': {}},
AlMoPd2,225,"{'pbe': {'am': 0.55, 'tm': 0.51}}",
Bi4O12Ti3,139,{'pbe': {}},['ht']
P8Se24Tl16,14,{'pbe': {}},
Cd4O16P8Pd2,70,{'pbe': {}},
Fe8Lu4,194,"{'pbe': {'am': 17.33, 'tm': 12.16}}",
Au8In16La4,62,{'pbe': {}},
K2O22V12,194,"{'pbe': {'am': 19.94, 'tm': 18.0}}",
Ni4O28P8Si2,15,"{'pbe': {'am': 8.25, 'tm': 8.01}}",
FeSe2Tl,119,"{'pbe': {'am': 3.79, 'tm': 3.7800000000000002}}",
C12H12Au4N8Sn2,15,{'pbe': {}},
Co3Hf3Sn3,189,{'pbe': {}},
Ni2P4W2,194,{'pbe': {}},
CNb2S2,166,{'pbe': {}},
F4Hg8O12P4,72,{'pbe': {}},
O3PbZr,160,{'pbe': {}},['ht']
FeO8S2Tl,150,"{'pbe': {'am': 4.92, 'tm': 4.88}}",
Al5LaNi2,71,{'pbe': {}},
Co16Nb6Si7,225,{'pbe': {}},
Bi2Ni4Y10,140,{'pbe': {}},
GeTe,225,{'pbe': {}},
Ba2Ge2Mg2,129,{'pbe': {}},
F4H8K4Li4O16P4,14,{'pbe': {}},
NTi3Tl,221,{'pbe': {}},
Cu2Mo4O16Sb2,15,{'pbe': {}},
B9N,139,"{'pbe': {'am': 2.83, 'tm': 2.81}}",
H12K4O20Se2Te2,15,{'pbe': {}},
H12Li2Mn2O14,186,{'pbe': {}},
Cs8Fe4O16,62,"{'pbe': {'am': 8.57, 'tm': 8.0}}",
In4Li8O8,141,{'pbe': {}},
CrF6K,148,"{'pbe': {'am': 1.17, 'tm': 1.0}}",
Br9Rb3Sb2,164,{'pbe': {}},
Li14N8V2,137,{'pbe': {}},
AgInS2,166,{'pbe': {}},
O4Si2,136,{'pbe': {}},['hp']
I6Ru2Y6,11,{'pbe': {}},
Cl4O8Pb2,68,{'pbe': {}},
Co28,136,"{'pbe': {'am': 52.89, 'tm': 47.99}}",['th']
Fe4,57,"{'pbe': {'am': 9.15, 'tm': 8.69}}","['hp', 'ht']"
C2BN,115,{'pbe': {}},['th']
Cr4H4La4O20,14,{'pbe': {}},
N6Na2O18Rb4,26,{'pbe': {}},
Ca12In4P12,62,{'pbe': {}},
Cl4,64,{'pbe': {}},['th']
Ca4O12Ti4,62,{'pbe': {}},
F24Hf6O2Rb4,166,{'pbe': {}},
B3N6NaSr4,229,{'pbe': {}},
Cs2Cu10S6,51,{'pbe': {}},
Cd2Ge4Na4Se12,9,{'pbe': {}},
Co6Sc4Si2,194,{'pbe': {}},
Rh4S8,205,{'pbe': {}},
BiO7Ti8,65,{'pbe': {}},
N3Ta2Zr,191,{'pbe': {}},['th']
Al6La2Ni4,63,{'pbe': {}},
B8Li8Si16,137,{'pbe': {}},
Ba4Ge8Ir8Mg2,63,{'pbe': {}},
Pt10Ti6,72,{'pbe': {}},
N3Ta6,162,{'pbe': {}},['th']
Ca6Co2O12Zn2,167,"{'pbe': {'am': 2.25, 'tm': 2.0}}",
Ni3S2Sn2,12,{'pbe': {}},
Ba2IKO6,225,{'pbe': {}},
F22H6N2Sb4,2,{'pbe': {}},
Cr4Se6,148,"{'pbe': {'am': 13.96, 'tm': 12.0}}",
Ba4O28P8Pb4,62,{'pbe': {}},
Ge12Ir3,144,{'pbe': {}},
Ge4Ir4Y4,62,{'pbe': {}},
Au8Eu16O36,60,"{'pbe': {'am': 104.17, 'tm': 96.0}}",
Ge2PbSr2,65,{'pbe': {}},
Ca4Si12,139,{'pbe': {}},
Ba2Cu2O22Ru10,194,"{'pbe': {'am': 16.07, 'tm': 15.91}}",
Ag2LaSi2,139,{'pbe': {}},
Ba2CaO6Os,225,"{'pbe': {'am': 2.04, 'tm': 1.98}}",
Bi2I6,148,{'pbe': {}},
O24Si12,36,{'pbe': {}},
Li4O10Si4,9,{'pbe': {}},
Eu8O20Ti4,62,"{'pbe': {'am': 51.53, 'tm': 48.0}}",
B2O6Sc2,167,{'pbe': {}},
Bi2O24Sc2,227,{'pbe': {}},
N6NiO12Pb2,225,{'pbe': {}},
B12Lu2O24,161,"{'pbe': {'am': 6.49, 'tm': 6.12}}",
S2Zn2,186,{'pbe': {}},
Cu2In4,140,{'pbe': {}},['th']
CNb2S2,164,{'pbe': {}},
Ca8Mn4O14,64,"{'pbe': {'am': 16.45, 'tm': 16.0}}",
B12O2,166,{'pbe': {}},
Au8Lu8Pb4,136,{'pbe': {}},
Mo6Se8Tl,148,{'pbe': {}},
Ba2O6TeZn,225,{'pbe': {}},
Cu4O4Rb4,119,{'pbe': {}},
Fe2Mo2O8,2,"{'pbe': {'am': 8.47, 'tm': 8.0}}",
Co2KP2,139,{'pbe': {}},
B4Nb3,71,{'pbe': {}},
SSr,225,{'pbe': {}},
Si8Sr4,141,{'pbe': {}},
B16Gd4W4,55,"{'pbe': {'am': 28.41, 'tm': 27.95}}",
Se4Ti4,166,{'pbe': {}},
Cu2F12Na6,14,"{'pbe': {'am': 4.28, 'tm': 4.0}}",
C6H6Fe2O12,167,"{'pbe': {'am': 10.03, 'tm': 10.0}}",
BHf,225,{'pbe': {}},
AuCdSn,216,{'pbe': {}},
Ba12I12Sb4,214,{'pbe': {}},
Bi4K12Te12,198,{'pbe': {}},
Cd8O28Te8,2,{'pbe': {}},
Mo6Se6Tl2,176,{'pbe': {}},
Ca8O16Ru4,61,"{'pbe': {'am': 8.21, 'tm': 8.03}}",['hp']
Fe2H2Ti2,51,{'pbe': {}},
B16Br16P8,14,{'pbe': {}},
O44Si22,12,{'pbe': {}},
Cs8S4,62,{'pbe': {}},
O10Sr,123,"{'pbe': {'am': 2.42, 'tm': 2.0}}",
C4Ca2,63,{'pbe': {}},"['th', 'hp']"
Os3Ti,221,{'pbe': {}},['th']
O3SSr4,221,{'pbe': {}},['th']
Eu2K8P4S16,72,"{'pbe': {'am': 14.27, 'tm': 14.0}}",
K2Li2Te2,129,{'pbe': {}},
NW,216,{'pbe': {}},['th']
Li8O28Se8,62,{'pbe': {}},
AgCdSb,216,{'pbe': {}},
H6I6N4,11,{'pbe': {}},
H3Sc,225,{'pbe': {}},"['th', 'hp']"
Ba6O18Si6,194,{'pbe': {}},['hp']
Ag16O8S4Si2,141,{'pbe': {}},
O6Pb2Zn2,161,{'pbe': {}},
K4O24S4V4,19,{'pbe': {}},
H8O8Sr4,62,{'pbe': {}},
