formula,sg,xc,flg
HV2,12,{'pbe': {}},
As2Ni2Sr,139,{'pbe': {}},
La2Na2O8Ti2,129,{'pbe': {}},
P4Ru6Sc,187,{'pbe': {}},
K4Tl4,194,{'pbe': {}},
C16Cl12O4S4,14,{'pbe': {}},
Cd4O24Se8Sr4,14,{'pbe': {}},
Al4Cu2,140,{'pbe': {}},
In3La3Pd3,189,{'pbe': {}},
CuGa3Gd,107,"{'pbe': {'am': 7.21, 'tm': 7.02}}",
F6InRb3,225,{'pbe': {}},
Mg4Ni2,8,{'pbe': {}},
Co4O8Si2,227,"{'pbe': {'am': 12.23, 'tm': 12.0}}",
Fe6Sc4Si2,194,"{'pbe': {'am': 11.3, 'tm': 7.52}}",
C8Cl8N16O16,14,{'pbe': {}},
Al4O15Sr6Y2,5,{'pbe': {}},
C4Li8,64,{'pbe': {}},"['th', 'hp']"
B8Ca8O20,14,{'pbe': {}},
Na8O20Si4Ti4,26,{'pbe': {}},
Cu4K4O4,139,{'pbe': {}},
Cl2Fe2O4Sr3,139,"{'pbe': {'am': 6.97, 'tm': 6.5600000000000005}}",['ht']
B6GdMnO18Sr6,148,"{'pbe': {'am': 11.14, 'tm': 11.0}}",
Li14N6O3P2,147,{'pbe': {}},
STl,221,{'pbe': {}},['hp']
As4Hf2Ni8,136,{'pbe': {}},
Al2Ge2Lu2,63,{'pbe': {}},
Ca4Cr8O32P8,15,"{'pbe': {'am': 32.65, 'tm': 32.0}}",
H2O10P2Zn4,2,{'pbe': {}},
CuLiO2,12,{'pbe': {}},
Co2Sc8,227,{'pbe': {}},
P56Pb4Zn4,62,{'pbe': {}},
As6Ca4Cl2O24Pb6,176,{'pbe': {}},
Ba3O6W,225,{'pbe': {}},
Cs2Mn2Sb2,129,"{'pbe': {'am': 9.5, 'tm': 9.33}}",
Au2Ca2,63,{'pbe': {}},
O10V6,15,"{'pbe': {'am': 10.99, 'tm': 10.0}}",
Fe2Na2O16W4,13,"{'pbe': {'am': 10.04, 'tm': 10.0}}",
KP,225,"{'pbe': {'am': 2.0, 'tm': 2.0}}",['ht']
Ni16P8Si8,61,{'pbe': {}},
LaZn5,191,{'pbe': {}},
Ga8Ni2Y2,63,{'pbe': {}},
C2In2V4,194,{'pbe': {}},"['th', 'hp']"
K2N6,140,{'pbe': {}},
Li8Si8,88,{'pbe': {}},
Cs4Gd4S16Si4,19,"{'pbe': {'am': 28.43, 'tm': 27.7}}",
Co6Cs8F20,64,"{'pbe': {'am': 18.27, 'tm': 18.0}}",
Ni4Zn22,217,{'pbe': {}},
La10Pb6S2,193,{'pbe': {}},
RhSi3Tb,107,"{'pbe': {'am': 5.96, 'tm': 5.8100000000000005}}",
I6La2,63,{'pbe': {}},
Co2HfSi2,139,{'pbe': {}},
O8Si4,13,{'pbe': {}},['th']
Eu4O24W6,15,"{'pbe': {'am': 25.65, 'tm': 24.0}}",
F6GeN2O,225,"{'pbe': {'am': 8.34, 'tm': 2.0}}",
LuSe,225,{'pbe': {}},
Ga8Zr10,193,{'pbe': {}},
Br4N2Pd,123,"{'pbe': {'am': 6.01, 'tm': 6.01}}",
La10Sn6,140,{'pbe': {}},
F4H4O12S4,19,{'pbe': {}},
Ca10Pb6V2,193,"{'pbe': {'am': 8.44, 'tm': 6.08}}",
B8Fe8Gd2,86,"{'pbe': {'am': 16.03, 'tm': 15.6}}",
Cl2O24P6Pb10,176,{'pbe': {}},
As12Ge4Na20,14,{'pbe': {}},
As8O8Y4,141,{'pbe': {}},
O6Pb2ReTc,225,{'pbe': {}},['th']
B6Hf2Ni21,225,{'pbe': {}},
H8N4O6,113,{'pbe': {}},
Ag2S4SnZn,121,{'pbe': {}},
MgNi6Si6,191,{'pbe': {}},
Ca2F14Hf2Tl2,63,{'pbe': {}},
Ge8Na8S20,63,{'pbe': {}},
Ba2H6Na2Pd2,194,{'pbe': {}},
AlPd24Yb8,221,"{'pbe': {'am': 4.77, 'tm': 4.63}}",
CB2GdRh2,139,"{'pbe': {'am': 7.14, 'tm': 6.94}}",
Al4Fe6Si6,2,{'pbe': {}},
La8P8S8,62,{'pbe': {}},
Cl8I16W12,64,{'pbe': {}},
Sb8Y24,86,{'pbe': {}},
Al2Be2H10,15,{'pbe': {}},"['th', 'hp']"
As2Bi2Mn2O10,2,"{'pbe': {'am': 10.02, 'tm': 10.0}}",
Br16Mn4Rb8,62,"{'pbe': {'am': 20.16, 'tm': 20.0}}",
H24Mg8Na8Ni4,62,{'pbe': {}},
Gd2P10,11,"{'pbe': {'am': 14.33, 'tm': 14.0}}",
Bi6O20P4Pb,2,{'pbe': {}},
F16Se4,19,{'pbe': {}},
As2H8Na2O12Zn2,2,{'pbe': {}},
In4Rb,139,{'pbe': {}},
Cu4InMg,216,{'pbe': {}},
N3Na8O,221,"{'pbe': {'am': 3.43, 'tm': 3.0}}",['th']
Ba4Cu6Na2O12,69,"{'pbe': {'am': 4.47, 'tm': 3.95}}",
CaMgNa2O8P2,164,{'pbe': {}},['ht']
Cl6Cs2LiNd,225,"{'pbe': {'am': 3.21, 'tm': 3.0}}",
Bi4Cr4O20,14,"{'pbe': {'am': 4.45, 'tm': 4.02}}",
NPt,216,{'pbe': {}},['th']
B8Hf2Ir6,176,{'pbe': {}},
Ba2Ni18P10,194,{'pbe': {}},
Co34Lu4,194,"{'pbe': {'am': 61.52, 'tm': 52.56}}",
CaCu3O12V4,204,{'pbe': {}},
Cu8Lu8O20,33,"{'pbe': {'am': 8.6, 'tm': 8.0}}",
Gd3H6Na3O27S6,152,"{'pbe': {'am': 21.54, 'tm': 20.45}}",
B12Ba6O27,152,"{'pbe': {'am': 6.64, 'tm': 6.21}}",
AgAuCl6Cs2,139,{'pbe': {}},
Cu3LaMn4O12,204,"{'pbe': {'am': 14.25, 'tm': 9.98}}",
Ir4Sb4Se4,198,{'pbe': {}},
F10H16N2,88,{'pbe': {}},
Al2EuSi2,164,"{'pbe': {'am': 7.1, 'tm': 6.88}}",
Au2DyIn,225,"{'pbe': {'am': 4.78, 'tm': 4.74}}",
As2Li2Mo4O18,59,{'pbe': {}},
F24Hf4Sr4,14,{'pbe': {}},
Cu2O12P4,15,"{'pbe': {'am': 2.09, 'tm': 2.0}}",
Ga2Gd,191,"{'pbe': {'am': 7.27, 'tm': 7.19}}",
F2Ho2O2,166,"{'pbe': {'am': 8.02, 'tm': 8.0}}",
Ag2BaGe2,139,{'pbe': {}},
Al2Ge2La,164,{'pbe': {}},
Ag4Cl4O12,87,{'pbe': {}},
As4Ni2,58,{'pbe': {}},
H4MgTi,123,{'pbe': {}},['th']
